"id_odsp";"id_event";"sort_order";"time";"text";"event_type";"event_type2";"side";"event_team";"opponent";"player";"player2";"player_in";"player_out";"shot_place";"shot_outcome";"is_goal";"location";"bodypart";"assist_method";"situation";"fast_break"
"SEqvxt5j/";"SEqvxt5j55";55.0;60.0;"Foul by Igor de Camargo (Borussia Monchengladbach).";3.0;"NA";2.0;"Borussia Monchengladbach";"Bayern Munich";"igor de camargo";"NA";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"I5sHJt2n/";"I5sHJt2n56";56.0;63.0;"Substitution, St Etienne. Idriss Saadi replaces Gonzalo Bergessio.";7.0;"NA";1.0;"St Etienne";"AS Nancy Lorraine";"NA";"NA";"idriss saadi";"gonzalo bergessio";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"ADHR3I3k/";"ADHR3I3k104";104.0;86.0;"Foul by Hajime Hosogai (FC Augsburg).";3.0;"NA";1.0;"FC Augsburg";"TSG Hoffenheim";"hajime hosogai";"NA";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"ljHSD2Rd/";"ljHSD2Rd6";6.0;5.0;"Arjen Robben (Bayern Munich) wins a free kick on the right wing.";8.0;"NA";1.0;"Bayern Munich";"Hamburg SV";"arjen robben";"NA";"NA";"NA";"NA";"NA";0.0;"5";"NA";0.0;"NA";0.0
"ljHSD2Rd/";"ljHSD2Rd35";35.0;29.0;"Attempt saved. Dennis Diekmeier (Hamburg) right footed shot from the right side of the box is saved in the bottom right corner.";1.0;"NA";2.0;"Hamburg SV";"Bayern Munich";"dennis diekmeier";"NA";"NA";"NA";"4";"1";0.0;"11";"1";0.0;"1";0.0
"0Ed6GSCi/";"0Ed6GSCi14";14.0;11.0;"Offside, Montpellier. Geoffrey Dernis tries a through ball, but Olivier Giroud is caught offside.";9.0;"13";1.0;"Montpellier";"Stade Rennes";"olivier giroud";"geoffrey dernis";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"0Ed6GSCi/";"0Ed6GSCi53";53.0;44.0;"Foul by Mapou Yanga-Mbiwa (Montpellier).";3.0;"NA";1.0;"Montpellier";"Stade Rennes";"mapou yangambiwa";"NA";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"C2F4CH2R/";"C2F4CH2R87";87.0;75.0;"Attempt missed. David Ducourtioux (Valenciennes) right footed shot from the right side of the box is too high. Assisted by Mathieu Dossevi.";1.0;"12";1.0;"Valenciennes";"Bordeaux";"david ducourtioux";"mathieu dossevi";"NA";"NA";"10";"2";0.0;"11";"1";1.0;"1";0.0
"2iMUPaQ8/";"2iMUPaQ867";67.0;50.0;"Foul by Didier Ya Konan (Hannover).";3.0;"NA";1.0;"Hannover 96";"Mainz";"didier ya konan";"NA";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"IuG0DcmL/";"IuG0DcmL57";57.0;53.0;"Attempt blocked. Kevin Gameiro (Paris Saint Germain) right footed shot from outside the box is blocked. Assisted by ClA©ment Chantome.";1.0;"12";2.0;"Paris Saint-Germain";"Toulouse";"kevin gameiro";"clement chantome";"NA";"NA";"2";"3";0.0;"15";"1";1.0;"1";0.0
"zwnPZNYb/";"zwnPZNYb104";104.0;86.0;"Foul by Javi LA³pez (Espanyol).";3.0;"NA";2.0;"Espanyol";"Mallorca";"javi lopez";"NA";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"tYsKPcXA/";"tYsKPcXA88";88.0;77.0;"Claudio Terzi (Siena) is shown the yellow card for a bad foul.";4.0;"NA";2.0;"Siena";"Catania";"claudio terzi";"NA";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"WMzXMeHT/";"WMzXMeHT94";94.0;77.0;"Alessandro Diamanti (Bologna) hits the left post with a left footed shot from a difficult angle and long range on the right from a direct free kick.";1.0;"NA";2.0;"Bologna";"Fiorentina";"alessandro diamanti";"NA";"NA";"NA";"7";"4";0.0;"6";"2";0.0;"4";0.0
"lb7VXT8t/";"lb7VXT8t99";99.0;77.0;"Foul by Erik Jendrisek (SC Freiburg).";3.0;"NA";1.0;"SC Freiburg";"VfB Stuttgart";"erik jendrisek";"NA";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"WMdzXmOn/";"WMdzXmOn63";63.0;54.0;"Attempt saved. Richard Sukuta-Pasu (Kaiserslautern) right footed shot from very close range is saved in the bottom left corner.";1.0;"NA";1.0;"Kaiserslautern";"Mainz";"richard sukutapasu";"NA";"NA";"NA";"3";"1";0.0;"13";"1";0.0;"1";0.0
"bov3SYW0/";"bov3SYW059";59.0;49.0;"Atsuto Uchida (Schalke) wins a free kick in the defensive half.";8.0;"NA";1.0;"Schalke 04";"Bayern Munich";"atsuto uchida";"NA";"NA";"NA";"NA";"NA";0.0;"2";"NA";0.0;"NA";0.0
"zslhWYgp/";"zslhWYgp73";73.0;65.0;"Antonio Candreva (Cesena) wins a free kick in the attacking half.";8.0;"NA";2.0;"Cesena";"Catania";"antonio candreva";"NA";"NA";"NA";"NA";"NA";0.0;"1";"NA";0.0;"NA";0.0
"CEmw3DFF/";"CEmw3DFF96";96.0;90.0;"Andrea Cossu (Cagliari) wins a free kick in the defensive half.";8.0;"NA";2.0;"Cagliari";"Palermo";"andrea cossu";"NA";"NA";"NA";"NA";"NA";0.0;"2";"NA";0.0;"NA";0.0
